AGG,VNQ
108.84,74.88
108.8,75.03
108.94,76.41
108.88,76.09
108.78,75.17
108.62,74.61
108.7,74.41
108.91,74.22
108.88,74.41
108.82,74.03
108.62,74.22
108.91,74.74
108.75,75.36
108.94,75.62
108.84,75.31
109.03,74.67
109.18,74.52
109.39,74.45
109.39,75.02
109.4,74.84
109.07,75.24
108.69,75.06
108.62,74.63
108.65,74.85
108.87,75.07
108.96,75.19
109.01,75.53
109.16,75.54
109.07,75.91
108.93,75.96
109.02,76.2
109.34,75.81
109.22,76.56
109.26,76.28
109.44,76.52
109.46,76.66
109.12,76.56
109.33,76.03
109.35,76.56
109.46,76.19
109.07,76.03
108.93,74.9
109.14,74.72
109.12,75.24
109.12,74.47
109.13,74.44
109.34,74.48
109.38,74.92
109.39,75.39
109.34,75.27
109.56,76.36
109.62,76.31
109.89,76.23
109.66,76.98
109.51,77.14
109.39,77.49
109.58,77.37
109.56,76.75
109.65,76.58
109.66,76.73
109.8,76.78
110.02,76.77
109.98,77.18
109.45,77.19
109.57,77.39
109.43,77.1
109.37,77.92
109.26,77.84
109.11,77.36
108.96,76.14
108.85,76.2
108.63,73.86
108.61,73.5
108.61,74.22
108.49,74.2
108.5,73.55
108.68,73.64
108.83,73.06
108.93,72.53
108.86,71.67
109.07,71.35
109.06,72.31
109.18,72.21
109.11,71.85
109.53,71.91
109.35,71.79
109.3,72.24
109.4,72.43
109.82,71.86
110.13,73.42
109.91,73.42
109.99,73.49
110.31,73.56
110.56,74.75
110.76,74.46
110.67,74.58
110.52,74.67
110.65,75.81
110.55,76.5
110.49,76.52
110.23,77.11
110.27,77.05
110.31,77.62
110.14,77.96
109.9,77.52
110.08,78.01
110.08,78.99
109.68,79.68
109.69,79.81
109.73,79.64
109.54,79.03
109.91,78.93
109.65,79.58
109.7,79.27
109.71,78.67
109.76,79.1
109.86,78.45
109.73,78.8
109.83,79.14
109.57,78.43
109.77,78.69
109.9,79.18
109.94,79.46
110.18,79.6
110.27,80.37
110.61,80.57
110.08,80.37
109.86,80.87
109.76,80.79
110.09,81.0
109.62,80.59
109.89,81.1
110.06,81.47
110.25,81.39
110.21,81.54
110.56,80.83
110.26,79.78
110.53,79.67
110.39,81.5
110.1,82.07
110.28,82.03
110.45,82.28
109.94,82.05
109.69,81.71
109.74,82.0
109.97,82.45
110.09,82.39
110.12,81.0
110.43,82.22
110.67,82.67
110.95,83.49
110.93,84.77
110.76,85.09
111.03,85.13
111.12,85.78
111.15,85.65
111.42,86.39
111.93,86.59
111.5,87.34
111.69,86.65
111.49,86.59
111.43,88.13
111.71,87.88
111.66,88.62
111.6,88.65
112.07,88.06
111.98,88.37
112.38,86.55
112.2,86.32
111.77,87.07
111.94,86.71
111.71,87.75
111.06,85.2
111.04,84.6
110.92,84.87
110.87,84.62
110.89,85.63
110.76,85.06
110.31,84.85
110.62,85.64
110.53,83.8
110.55,84.61
110.75,85.29
111.24,83.61
111.32,83.63
110.92,82.72
111.2,83.37
110.45,83.85
110.31,83.69
110.37,82.89
110.42,83.13
109.7,80.37
109.98,81.01
110.24,80.95
110.46,81.02
110.55,82.43
110.34,82.38
110.58,83.23
110.56,83.2
111.37,84.94
110.98,84.9
111.32,87.03
111.34,86.92
111.64,86.18
111.43,84.19
111.03,83.75
111.19,83.86
111.24,85.06
111.43,84.31
111.58,84.19
111.43,84.83
111.5,85.71
111.52,84.2
111.53,84.33
111.25,82.58
111.25,82.52
111.37,82.3
111.49,82.59
111.64,81.97
111.58,82.18
111.67,81.8
111.59,81.92
111.47,82.06
111.14,82.23
111.31,82.45
111.5,82.62
111.54,82.51
111.11,82.35
110.86,80.69
110.86,79.38
110.34,79.98
110.13,80.06
110.03,78.32
109.66,78.17
109.93,79.37
110.29,80.48
109.59,79.27
109.58,79.51
109.57,78.75
109.74,80.27
110.2,81.09
109.78,80.88
109.4,80.6
109.57,80.53
109.91,80.15
109.79,80.05
110.06,79.44
110.17,80.22
110.13,80.06
110.17,79.14
109.66,80.11
109.23,79.37
108.8,78.23
109.03,78.08
108.55,77.21
108.71,77.07
108.4,76.51
108.13,77.05
108.71,77.52
108.58,77.45
108.71,77.03
108.89,77.65
108.9,78.31
108.87,79.39
109.21,78.78
108.67,77.97
108.42,77.32
108.59,76.9
108.47,76.12
108.21,75.9
108.85,74.72
108.78,74.69
108.29,75.92
108.44,76.11
108.83,76.59
108.98,77.79
109.24,77.49
108.84,77.12
108.38,77.76
108.22,77.87
108.4,78.03
108.69,78.16
108.78,78.79
108.79,78.51
108.6,78.6
108.78,78.38
108.83,78.72
109.14,77.74
109.12,78.07
109.26,78.21
109.15,78.26
109.06,78.77
109.07,78.38
109.5,79.0
109.4,79.49
109.08,78.91
108.88,78.39
109.01,78.5
109.2,78.79
109.06,78.54
109.42,79.06
109.35,79.31
109.12,79.4
109.07,79.83
109.26,80.51
109.06,80.73
109.4,80.25
109.57,79.66
109.76,78.18
109.72,74.52
109.46,72.47
108.95,74.43
109.1,75.87
109.0,75.76
108.92,74.03
109.02,72.62
108.88,73.37
109.04,73.57
109.27,72.2
109.01,73.29
109.05,72.45
108.93,72.61
109.06,74.0
109.09,74.04
108.6,74.77
108.51,75.57
109.19,76.43
109.28,76.3
108.99,76.95
109.25,75.98
109.16,75.7
109.3,74.99
109.11,75.29
109.37,74.12
109.54,74.91
109.58,75.54
109.46,75.91
109.79,76.46
109.38,77.75
109.65,77.57
109.57,78.46
109.42,79.12
109.33,78.99
109.61,79.55
109.62,78.93
110.03,78.34
109.88,79.41
109.77,80.01
109.88,81.13
109.66,81.1
109.92,80.8
109.94,81.51
109.75,80.72
109.8,80.7
109.96,80.67
109.63,80.74
109.16,80.63
109.45,79.89
109.02,81.59
108.82,80.77
108.82,80.41
108.77,80.73
108.25,78.22
108.18,76.88
108.38,77.76
108.24,77.85
108.34,77.32
108.55,76.44
108.64,77.32
108.72,77.32
108.64,78.0
108.69,78.24
108.62,79.22
108.65,79.39
108.75,78.97
108.8,79.29
108.77,79.98
108.81,79.39
108.82,80.49
108.69,78.85
107.89,77.61
108.24,79.09
108.4,78.87
108.44,78.8
108.44,78.36
108.42,77.8
108.69,77.66
108.18,78.02
108.19,78.87
108.0,80.41
108.15,80.01
108.38,79.08
108.28,79.39
108.2,79.71
108.18,79.42
108.01,79.42
108.01,79.86
107.74,80.71
107.72,80.43
108.01,79.73
107.97,78.77
108.02,80.29
108.43,80.07
108.42,78.51
108.66,77.46
108.35,77.9
108.59,77.38
108.84,76.27
108.8,76.09
108.93,75.57
108.82,75.97
108.91,73.93
108.76,74.34
108.84,76.41
108.78,75.93
108.92,77.52
108.94,76.02
109.03,75.44
109.35,76.99
108.99,77.12
109.32,76.42
109.31,76.93
109.42,76.97
109.32,75.51
109.74,73.35
109.73,72.0
110.0,72.5
110.07,71.47
109.77,72.29
109.5,73.62
109.44,74.25
109.77,75.0
109.79,75.43
109.82,76.15
109.84,75.95
109.88,75.86
110.16,77.41
109.96,77.01
110.09,76.71
109.54,78.87
109.42,79.44
109.55,79.86
109.38,79.87
109.35,80.08
109.62,79.26
109.57,79.7
109.62,79.41
109.42,81.19
109.48,81.2
109.38,81.24
109.85,82.22
110.08,83.38
110.17,83.02
109.93,81.36
109.86,81.36
110.1,80.92
110.11,80.95
110.19,81.68
110.52,83.45
110.48,83.29
110.83,83.8
110.51,83.69
110.62,83.57
110.77,83.02
110.75,83.22
110.99,82.7
110.88,83.16
110.96,82.99
110.78,83.59
110.83,83.22
110.64,82.76
110.95,83.38
110.94,83.78
110.93,83.82
110.66,82.4
110.51,80.93
110.52,81.77
110.4,82.49
110.35,82.81
110.68,82.76
110.9,82.59
110.89,81.83
110.61,83.1
110.81,83.23
110.86,84.42
111.14,84.66
110.97,85.59
111.04,86.53
111.09,86.52
111.09,84.67
110.99,85.16
111.2,84.4
111.01,85.2
110.86,83.62
110.4,82.31
110.47,81.39
110.54,82.04
110.52,82.05
110.46,83.07
110.48,83.07
110.65,83.23
110.63,83.68
110.7,83.67
110.42,83.74
110.7,84.17
111.3,84.51
111.15,83.86
111.25,84.37
111.29,84.91
111.37,85.1
111.52,84.7
111.61,84.72
111.56,84.5
111.8,85.3
111.87,85.78
111.79,85.64
111.48,85.76
111.4,85.32
111.47,85.19
111.28,85.62
111.86,84.87
112.33,84.92
112.47,86.71
112.39,87.76
112.62,88.67
112.65,88.7
112.95,89.68
113.16,89.29
113.08,88.37
113.25,89.8
112.95,90.4
112.61,90.39
112.77,90.89
112.67,90.08
112.26,90.11
112.32,90.35
112.51,90.79
112.41,90.8
112.51,90.98
112.53,91.78
112.4,91.61
112.4,91.16
112.73,90.45
112.72,91.29
113.02,92.45
112.55,92.65
112.22,91.17
112.34,90.64
112.55,90.27
112.17,90.33
112.24,90.49
112.53,90.98
112.66,90.88
112.36,89.85
112.63,90.23
112.43,90.14
112.36,89.06
112.57,89.42
112.73,89.09
112.48,88.52
112.65,89.0
112.68,89.05
112.64,88.66
112.52,89.06
112.34,88.18
112.65,89.05
112.59,88.88
112.57,88.97
112.46,88.75
112.31,89.52
112.55,90.21
112.61,90.75
112.22,89.64
111.73,86.09
111.82,87.11
111.51,84.34
111.65,84.61
111.72,84.93
111.8,84.97
111.71,85.74
111.75,85.61
112.03,86.71
112.26,88.26
112.23,88.53
112.37,88.74
112.51,87.8
112.54,88.52
112.54,87.34
112.42,86.74
112.09,85.12
111.71,83.96
111.56,82.26
111.56,82.29
111.58,82.15
111.53,82.66
111.36,81.86
111.4,82.8
111.56,83.45
111.37,83.08
111.56,83.26
111.74,83.79
111.8,83.97
111.76,83.78
111.83,83.47
111.66,83.66
111.66,83.51
111.44,82.42
111.16,80.26
111.16,80.45
111.3,81.76
111.03,79.98
111.16,78.81
111.01,78.2
111.24,78.82
111.11,80.2
110.93,80.62
109.9,79.4
109.45,78.07
109.25,78.54
108.81,80.4
108.89,79.73
109.13,79.5
108.72,78.69
108.37,78.92
108.46,78.68
108.56,80.06
108.18,79.72
108.17,80.18
108.55,80.55
108.67,81.32
108.24,80.39
107.68,79.21
108.02,80.0
108.11,80.59
108.09,81.11
108.37,82.73
108.17,83.3
107.84,83.21
107.74,83.76
107.88,83.72
107.29,81.89
107.16,81.41
107.23,82.63
107.51,83.52
107.41,83.71
107.64,82.44
107.39,80.61
107.42,80.82
107.34,80.99
107.51,80.5
107.84,81.5
108.06,82.53
108.17,82.8
108.2,84.01
108.65,84.28
108.29,84.29
108.47,83.53
108.44,82.82
108.57,82.31
108.61,82.73
108.42,82.61
108.79,83.25
108.32,83.39
108.04,82.54
108.08,83.14
108.38,83.84
108.21,83.86
107.92,83.31
107.99,83.15
108.08,82.34
108.03,81.78
108.29,82.37
107.92,81.38
107.98,82.35
108.01,82.8
108.32,82.66
108.43,82.37
108.74,83.02
108.48,83.22
108.46,83.81
108.3,83.84
108.06,83.4
107.89,83.12
108.12,83.61
108.36,83.77
108.35,84.84
108.42,84.56
108.6,85.0
109.0,85.4
108.8,85.85
108.77,85.26
108.04,85.0
107.84,84.54
107.92,84.21
107.87,83.83
107.73,83.43
107.47,81.89
107.14,80.66
107.3,80.41
107.12,80.61
107.16,80.59
107.78,82.22
107.66,82.06
107.89,82.44
108.05,82.3
108.27,82.01
108.42,81.37
108.45,81.97
108.36,81.88
108.62,81.14
108.37,81.49
108.61,81.95
108.41,82.1
108.49,82.59
108.67,82.83
108.57,82.83
108.69,82.95
108.68,83.39
108.44,83.51
108.58,84.03
108.89,84.61
109.13,84.46
109.27,84.27
109.21,85.29
109.65,85.52
109.48,85.4
109.31,85.41
109.34,85.1
109.18,84.16
108.82,84.51
108.96,83.88
109.06,83.66
109.25,82.79
108.73,83.28
108.88,83.14
108.77,82.03
108.68,81.63
108.7,82.4
108.49,81.82
108.5,81.38
108.53,82.02
108.52,81.61
108.92,81.28
108.88,81.52
109.02,80.97
109.58,81.3
109.52,81.75
109.52,82.19
109.45,82.51
109.24,82.58
109.43,83.25
109.48,83.26
109.44,82.66
109.65,82.14
109.76,82.19
109.48,82.62
109.84,83.47
109.67,83.11
109.89,82.71
109.76,83.29
109.65,83.09
109.56,83.67
109.56,84.42
109.59,84.61
109.94,84.73
109.87,85.16
109.94,84.94
109.79,84.95
109.96,84.75
109.98,84.58
110.03,84.66
110.05,84.15
110.15,84.75
109.82,83.99
109.86,84.19
109.65,83.23
109.51,83.23
109.09,84.29
109.15,83.1
108.94,81.54
108.9,82.0
108.95,81.25
109.05,81.16
109.38,82.16
109.26,82.29
109.37,83.08
109.42,83.75
109.67,83.57
109.7,84.2
109.73,83.81
109.92,83.75
109.82,83.59
109.43,83.7
109.64,84.28
109.48,84.38
109.7,84.15
109.65,84.26
109.72,84.64
109.64,83.87
109.86,83.7
109.68,83.98
109.67,83.89
109.57,83.49
109.67,83.21
109.78,82.61
109.87,82.1
109.82,83.47
109.66,83.22
109.86,83.55
110.02,83.03
109.95,82.19
110.03,83.07
109.93,82.83
110.18,83.68
110.04,83.42
110.12,83.82
110.16,83.18
110.32,83.09
110.3,83.56
110.45,84.04
109.97,84.33
110.42,84.1
110.3,84.32
110.57,84.86
110.44,84.93
110.14,85.71
109.98,84.7
109.87,84.48
109.93,85.18
109.91,85.34
109.86,84.88
109.8,84.32
109.71,84.09
109.69,83.93
109.77,82.49
110.03,82.97
109.99,83.11
109.67,82.36
109.68,82.92
109.59,83.09
109.43,82.97
109.52,82.85
109.49,83.27
109.44,83.57
109.28,83.3
109.43,83.5
109.44,83.75
109.46,84.03
109.59,84.57
109.86,84.79
109.75,84.37
109.71,84.47
109.54,84.38
109.62,84.13
109.3,83.65
109.42,83.33
109.19,82.83
109.12,82.59
109.0,81.91
109.24,82.28
109.54,82.21
109.47,82.2
109.29,82.6
109.35,83.3
109.45,83.09
109.55,83.65
109.58,84.33
109.51,84.75
109.43,84.84
108.99,84.93
108.99,85.36
109.1,85.18
109.31,84.32
109.19,85.02
109.31,84.65
109.25,84.4
109.36,85.03
109.55,84.84
109.53,84.95
109.53,84.55
109.53,84.23
109.26,84.26
109.08,84.39
109.16,84.59
109.15,84.17
109.26,83.47
109.37,83.39
109.23,83.6
109.19,84.03
109.15,84.02
109.1,84.43
109.41,84.57
109.44,84.55
109.47,85.08
109.33,85.64
109.01,83.82
108.76,82.85
108.82,81.27
108.87,81.83
108.96,82.24
109.3,82.51
109.22,82.95
109.33,82.98
109.17,82.67
109.18,82.43
109.11,81.01
109.04,81.05
109.01,81.47
108.71,80.42
108.71,79.52
108.76,79.25
108.74,78.61
108.77,78.76
108.65,79.31
108.41,78.29
108.18,78.71
108.14,79.43
108.4,80.53
108.29,80.11
108.57,79.97
108.37,79.69
108.18,78.62
108.01,78.05
108.1,79.45
107.52,77.74
107.2,77.08
107.63,74.79
107.32,74.8
107.08,74.48
106.9,72.34
106.76,74.15
106.79,74.18
106.82,74.7
106.46,74.16
106.59,74.88
106.8,75.29
106.69,74.4
106.35,72.93
106.36,73.76
106.63,74.94
106.71,75.15
106.48,73.4
106.77,73.35
106.63,73.42
106.46,73.39
106.4,74.22
106.42,74.57
106.4,75.03
106.57,75.17
106.37,75.58
106.43,75.91
106.57,75.98
106.75,76.05
106.76,76.03
106.7,76.56
106.59,75.9
106.42,75.64
106.41,75.08
106.61,74.64
106.61,73.31
106.57,73.43
106.88,73.71
106.94,75.56
107.25,75.47
106.9,74.45
106.78,75.08
106.82,75.87
106.67,75.84
106.91,75.27
107.0,75.03
106.92,74.95
107.01,75.11
106.77,74.27
106.8,74.66
106.82,75.12
106.85,76.0
106.55,75.84
106.29,74.74
106.0,74.05
105.95,73.99
105.81,74.27
105.67,74.13
105.85,75.1
105.98,76.39
106.0,76.09
105.67,76.78
105.67,76.5
105.79,76.45
105.86,77.29
105.81,77.81
105.69,77.42
105.57,77.94
105.81,78.55
105.86,78.28
105.76,77.61
105.29,76.35
105.17,76.12
105.03,75.74
105.3,75.84
105.31,76.74
105.31,76.85
105.6,77.62
105.89,77.46
106.12,77.73
106.82,78.1
106.55,79.16
106.46,78.89
106.08,79.24
105.83,79.93
105.91,79.72
105.67,79.91
105.9,79.91
105.75,80.2
105.64,80.08
105.67,80.56
105.57,78.99
105.84,79.74
105.88,79.69
105.9,78.98
106.01,78.9
105.81,79.78
105.84,80.16
105.94,80.79
105.88,80.58
106.05,80.84
106.24,80.53
106.23,81.25
106.32,81.45
105.99,81.0
106.21,81.61
106.31,82.58
106.42,83.02
106.32,82.36
106.24,82.53
106.28,82.26
106.41,82.51
106.51,82.26
106.39,81.82
106.35,81.28
106.32,80.92
106.48,81.87
106.27,81.08
105.9,80.91
106.05,80.5
106.06,81.14
106.0,81.41
106.08,80.54
105.97,80.59
106.06,81.94
105.7,82.52
105.74,82.19
105.97,83.08
106.04,82.97
105.85,82.82
105.85,82.34
106.0,82.38
106.23,81.75
106.29,81.59
106.19,81.99
106.34,82.62
106.4,83.29
106.46,84.06
106.67,84.12
106.58,83.61
106.67,83.14
106.61,82.93
106.73,83.42
106.59,83.12
106.39,84.24
106.37,84.26
106.42,83.72
106.41,84.05
106.06,83.05
106.01,83.53
106.19,83.77
105.81,82.86
105.91,83.23
105.73,83.22
105.8,83.26
105.87,83.67
105.67,83.14
105.67,83.41
105.44,83.01
105.24,82.04
105.38,82.81
105.46,82.78
105.36,80.17
105.31,80.18
105.56,79.22
105.63,79.6
105.52,80.68
105.24,79.93
105.36,79.75
104.86,78.9
104.56,78.24
104.33,78.2
104.29,79.33
104.44,79.44
104.41,78.26
104.72,76.02
104.75,75.82
104.68,76.33
104.74,77.9
104.53,77.6
104.46,77.45
104.37,78.12
104.35,77.03
104.48,77.37
104.75,78.1
104.66,79.1
104.9,77.2
104.79,78.18
104.64,79.25
104.59,78.32
104.34,78.69
104.03,78.04
104.1,79.2
104.11,79.6
104.2,80.55
104.01,80.61
104.14,80.6
104.31,80.76
104.35,80.68
104.36,80.48
104.49,79.93
104.66,80.79
104.65,80.9
104.61,80.07
104.68,80.14
104.65,79.98
104.63,80.13
104.66,80.47
104.86,81.19
104.91,81.21
104.88,81.98
104.8,82.42
105.08,81.2
105.34,83.21
105.48,82.12
105.55,81.59
105.58,81.63
105.5,80.37
105.53,79.88
105.56,79.65
105.74,76.65
105.84,77.44
105.94,76.59
105.84,75.44
105.79,74.39
105.86,71.74
105.66,74.14
105.83,74.13
106.22,74.37
106.49,74.57
106.57,72.95
107.01,73.46
106.69,74.32
106.51,75.05
106.43,76.6
106.52,76.49
106.4,77.53
106.55,77.75
106.4,77.49
106.42,78.23
106.51,78.78
106.43,79.16
106.35,79.43
106.44,79.19
106.55,79.2
106.73,79.47
106.68,80.46
106.62,81.25
106.9,81.89
107.14,82.55
107.46,83.41
106.97,82.88
106.88,83.5
107.11,83.98
107.05,83.43
107.1,84.12
107.34,84.12
107.23,84.35
107.25,83.82
107.06,84.25
107.22,84.52
107.3,85.09
107.36,85.07
107.37,84.54
107.13,84.62
107.4,85.12
107.37,84.45
107.49,84.19
107.26,83.77
107.07,83.99
106.63,83.73
106.76,84.11
106.83,84.34
106.99,83.95
107.29,83.77
107.43,83.86
107.44,85.09
107.64,85.48
107.59,85.9
107.43,86.03
107.7,85.76
107.68,85.33
107.62,85.07
108.06,85.33
108.08,86.85
108.62,86.22
108.82,86.33
108.84,87.02
109.07,86.77
109.08,86.99
109.07,86.91
108.31,86.86
108.43,87.47
108.23,87.37
108.31,87.23
108.39,87.84
108.34,87.35
108.4,86.89
108.61,87.69
108.48,87.63
108.27,88.05
108.25,87.6
108.06,85.62
108.05,84.84
108.19,85.49
108.06,84.55
108.25,85.67
108.5,86.3
108.49,86.12
108.71,86.8
108.52,85.95
108.59,86.77
108.4,86.84
108.16,86.93
108.34,87.67
108.48,87.39
108.61,85.81
108.59,85.72
108.65,85.94
108.67,86.86
108.85,86.77
108.94,87.09
109.13,87.68
109.0,88.03
109.03,87.86
108.88,86.59
108.87,87.33
109.05,87.59
109.37,87.79
109.41,88.06
109.57,87.19
109.6,86.03
109.89,86.39
110.4,86.89
110.4,87.1
110.3,86.71
110.24,88.52
110.22,88.69
110.53,89.02
110.24,88.73
110.22,88.97
110.36,89.27
110.6,89.65
110.57,89.7
110.54,90.66
110.84,90.57
111.22,91.06
111.41,91.52
111.12,90.23
111.32,89.92
111.34,88.59
111.09,86.82
111.4,87.1
111.35,87.4
111.18,87.36
111.38,88.88
111.56,89.94
111.09,89.62
111.03,89.94
111.0,90.24
111.08,90.76
110.67,89.58
110.79,89.46
110.95,89.39
110.83,89.18
111.12,88.88
111.3,88.88
111.17,87.43
111.31,87.35
111.2,88.34
111.36,88.41
111.19,87.89
111.21,88.29
111.26,88.53
111.25,89.24
111.3,88.89
111.91,88.89
111.95,89.32
112.44,87.56
112.74,88.53
112.68,89.39
