AGG,VNQ
113.49,92.92
113.1,93.07
112.73,93.03
112.92,93.07
112.55,93.19
112.75,93.2
112.72,93.81
112.8,94.53
112.49,95.25
112.66,94.97
112.75,95.18
112.78,94.94
112.62,94.13
112.38,93.56
112.39,94.13
112.71,94.47
113.15,94.3
112.93,94.28
112.65,93.62
112.23,92.03
112.4,92.23
111.87,91.31
111.81,91.09
111.83,91.29
111.95,90.6
112.15,91.43
112.47,92.14
112.41,92.64
112.62,93.09
112.7,93.25
112.97,93.2
112.81,91.89
112.87,91.55
112.98,91.84
113.14,93.06
113.0,93.5
112.86,93.07
112.49,91.66
113.0,92.25
112.81,92.63
112.68,92.68
112.52,92.87
112.58,93.05
112.54,92.51
112.84,91.57
112.36,90.33
112.81,90.35
112.58,91.0
112.59,90.14
112.37,90.27
112.3,91.07
112.32,91.57
112.24,91.11
112.38,91.35
112.48,91.75
112.63,92.04
112.63,92.13
112.37,92.79
112.68,91.7
113.01,92.27
112.92,92.38
112.8,91.35
112.67,91.63
112.79,91.58
112.98,92.28
112.91,93.39
113.01,93.04
113.18,93.88
113.18,94.63
113.05,94.72
113.37,95.62
113.43,94.98
113.58,95.78
113.79,95.45
114.14,94.99
114.04,95.37
114.3,95.02
114.31,95.09
114.65,93.93
114.37,94.24
113.99,95.21
113.82,95.27
113.89,95.59
114.22,95.57
114.35,96.64
114.21,97.37
114.09,97.95
114.17,98.54
114.29,99.56
114.44,99.45
114.41,98.11
114.67,99.28
114.9,99.57
115.27,98.21
115.47,95.55
115.35,94.52
115.37,89.49
116.22,87.33
115.94,91.06
116.73,90.85
116.64,94.28
117.0,92.26
117.86,90.67
117.71,83.68
116.38,86.54
114.72,81.34
110.13,73.1
111.86,79.48
113.73,65.39
110.79,69.17
106.57,62.59
108.95,62.81
110.03,59.68
112.64,56.91
113.57,62.03
114.73,65.37
115.08,69.98
115.57,70.05
115.68,71.58
115.37,69.85
114.73,65.26
114.9,65.48
114.98,64.53
115.54,69.31
115.7,69.95
115.81,74.72
117.25,78.91
116.7,75.59
116.76,77.71
117.24,74.63
117.39,73.78
117.25,76.11
117.08,73.28
117.14,71.95
117.14,73.05
117.42,72.44
117.36,72.75
116.82,75.24
117.28,75.86
117.36,77.0
117.1,76.11
116.87,73.54
116.97,73.18
116.88,73.54
116.41,72.22
116.77,73.25
116.46,74.99
116.11,73.9
116.41,70.54
116.6,68.83
116.96,69.07
117.03,68.8
116.86,72.87
116.99,71.89
117.29,72.53
117.38,72.59
117.44,73.57
117.25,76.32
117.42,77.84
117.34,78.21
117.65,77.43
117.37,79.22
117.47,79.86
117.18,82.42
116.83,81.6
116.9,84.69
117.03,86.79
117.18,85.35
117.66,83.18
117.46,77.84
117.58,80.63
117.97,81.77
117.74,83.38
117.64,82.17
117.76,81.27
117.8,80.09
117.77,80.01
117.75,79.68
117.73,77.41
117.87,77.63
118.01,76.14
118.11,77.61
118.21,78.53
118.05,80.34
118.19,80.11
118.18,80.07
118.36,78.48
118.32,78.37
118.63,77.88
118.49,78.12
118.48,77.19
118.67,77.84
118.68,78.6
118.76,77.66
118.88,78.67
119.01,77.73
119.08,77.92
119.18,79.11
119.32,78.78
119.28,78.2
119.2,78.94
119.28,80.51
119.42,82.07
119.51,81.54
119.56,81.39
119.4,80.31
119.63,81.51
119.4,81.1
119.57,81.23
119.43,82.39
119.32,82.52
118.99,81.33
118.75,82.15
118.31,81.14
118.2,81.15
118.36,81.81
118.53,81.42
118.35,79.99
118.56,80.75
118.68,80.88
118.63,81.4
118.38,81.61
118.36,80.86
117.95,82.05
118.11,82.59
118.37,81.75
118.42,81.81
118.66,83.33
118.69,82.33
118.1,81.9
118.23,80.9
118.22,81.7
118.23,80.7
118.37,80.25
118.38,82.21
118.39,83.2
118.33,83.64
118.36,82.01
118.22,80.16
118.24,77.75
118.33,78.68
118.08,76.31
118.09,76.72
118.13,77.7
118.23,79.29
118.25,78.72
118.06,78.96
118.02,80.54
117.9,81.93
117.52,82.4
117.62,81.86
117.54,81.98
117.69,83.35
117.72,83.02
117.95,83.41
117.98,81.98
118.05,80.98
117.95,81.4
117.89,80.82
117.75,79.56
117.65,80.13
117.51,79.89
117.3,79.88
117.47,80.36
117.63,79.21
117.9,77.94
117.73,76.08
117.52,77.1
117.2,76.59
117.22,78.42
117.17,79.93
117.95,80.07
118.06,80.45
117.8,79.9
117.25,82.73
117.06,83.94
117.13,84.26
117.62,83.16
117.64,85.38
117.63,86.34
117.87,86.42
117.95,84.74
118.17,85.07
118.29,84.61
118.26,84.77
118.1,85.22
118.06,85.27
118.26,84.89
118.42,84.0
117.84,85.08
117.71,84.41
117.91,85.12
117.59,86.42
117.77,85.67
117.78,85.37
117.61,84.84
117.9,84.47
118.03,84.39
117.96,84.02
118.03,85.74
117.98,85.84
117.85,86.67
117.79,84.93
117.79,84.45
117.96,85.04
117.88,84.49
117.99,83.88
118.01,84.38
118.03,83.66
118.1,84.12
118.19,84.93
118.04,82.17
117.92,82.29
117.34,82.43
117.22,82.27
117.08,83.07
116.89,81.97
116.99,82.16
117.36,83.16
117.13,83.65
117.25,84.61
117.41,84.37
117.42,85.98
117.25,85.57
117.25,85.77
117.55,86.42
117.51,87.03
117.52,85.49
117.44,85.95
117.31,84.96
117.23,86.9
117.05,87.42
116.91,87.2
116.86,87.8
116.71,88.11
116.83,88.59
116.88,88.9
116.99,89.38
116.85,89.57
116.58,89.59
116.03,88.9
116.26,88.79
116.2,88.41
115.84,88.92
115.48,89.66
115.51,90.22
115.47,90.91
114.41,89.17
115.34,87.87
115.09,88.26
115.11,87.41
114.69,86.91
114.36,85.92
114.28,86.86
113.83,87.61
114.26,88.19
114.45,89.07
114.44,90.11
113.79,91.62
113.91,92.98
113.87,92.6
113.86,92.68
113.42,91.74
113.51,90.49
113.73,91.13
114.02,91.0
114.16,90.49
114.1,90.88
113.91,92.84
113.72,92.3
113.81,92.42
113.83,91.86
114.04,93.53
113.81,93.89
114.21,94.13
114.03,94.2
114.31,93.85
114.18,93.74
114.15,94.29
114.48,94.76
114.39,94.26
114.84,95.91
114.54,96.12
114.45,96.31
114.63,97.1
114.74,97.74
114.77,97.21
114.75,97.78
114.65,98.07
114.37,98.06
114.43,97.85
114.37,98.69
114.49,99.08
114.39,98.89
114.53,98.25
114.62,96.62
114.64,97.16
114.61,98.44
114.43,98.41
114.18,97.17
113.78,94.71
114.04,95.94
114.3,97.08
114.2,97.18
114.06,97.2
113.9,96.89
114.29,97.98
114.34,97.88
114.45,99.1
114.73,99.07
114.69,99.51
114.55,99.28
114.55,99.88
114.33,101.68
114.48,102.87
114.21,102.49
114.68,102.54
114.6,103.75
114.81,104.61
115.04,104.75
115.28,105.5
115.23,105.08
114.94,105.49
114.99,104.36
114.62,103.68
114.98,103.55
115.29,101.79
114.99,103.89
115.11,103.35
115.05,103.17
115.09,102.22
114.86,102.91
115.19,102.61
115.25,102.33
115.33,101.79
115.11,102.23
115.36,102.54
115.73,103.29
115.93,103.65
116.06,103.36
115.68,105.06
115.61,105.96
115.36,104.48
115.75,105.21
116.0,105.38
115.9,105.31
116.51,103.39
116.4,105.83
116.02,105.82
116.29,104.98
116.21,105.85
116.11,105.9
116.38,106.5
116.49,106.13
116.3,106.15
116.46,106.29
116.54,106.06
116.58,106.19
116.57,105.86
116.31,107.1
115.79,106.91
115.58,106.34
115.43,105.33
115.54,105.95
115.55,106.18
115.97,106.76
116.03,106.63
115.94,106.52
115.95,105.55
116.15,106.06
116.16,106.59
116.16,106.39
115.99,105.92
115.77,105.85
115.78,105.89
116.1,107.0
116.23,108.07
116.06,108.58
115.93,110.32
116.05,110.9
115.85,110.92
115.54,109.67
115.73,110.22
116.1,107.98
115.87,106.4
116.02,107.12
116.28,106.93
116.17,107.27
115.97,107.36
115.87,106.4
116.09,105.75
116.14,105.8
116.18,106.83
115.61,106.62
115.41,104.83
115.25,103.42
114.77,102.72
114.85,103.49
114.83,101.78
115.0,103.22
114.92,103.24
114.65,102.53
114.7,103.51
114.38,103.79
114.13,102.81
113.95,103.07
114.37,104.42
114.63,105.18
114.85,106.46
114.57,106.38
114.49,106.65
114.16,106.7
114.08,108.38
113.84,108.53
114.06,109.04
114.17,109.39
114.38,109.69
114.76,108.76
114.67,110.28
114.64,109.04
114.39,109.58
114.62,110.1
114.39,110.47
114.77,109.42
115.22,109.98
115.01,109.89
115.33,110.08
114.55,109.57
114.34,109.75
114.32,109.67
113.9,110.44
113.86,109.71
114.13,110.05
114.23,110.07
114.45,109.42
113.9,108.88
113.45,109.76
113.71,111.09
114.52,108.0
114.58,108.8
114.77,106.74
114.63,104.98
114.61,108.13
115.07,107.77
114.67,109.66
114.49,111.24
114.19,112.04
114.2,110.42
114.23,110.76
114.63,111.8
114.41,110.37
114.32,111.92
114.36,111.88
114.5,111.74
114.33,110.87
114.24,112.12
114.34,113.27
114.2,113.15
114.26,114.0
114.21,114.42
113.87,115.19
114.12,115.69
114.08,116.01
113.3,115.1
113.29,114.96
112.94,111.67
112.82,111.77
112.49,111.03
112.39,110.39
112.6,110.56
112.6,110.69
112.8,110.47
112.17,109.47
111.49,108.32
111.73,106.86
111.79,105.49
112.23,105.23
112.1,105.43
111.99,105.01
111.36,103.37
111.73,101.66
111.81,104.95
111.8,106.24
111.6,105.86
111.72,107.21
111.27,106.07
110.57,105.02
110.67,104.87
110.33,104.38
110.4,106.74
109.38,104.22
110.1,103.27
109.46,102.33
109.28,103.25
109.41,103.73
109.64,102.63
109.87,102.01
109.75,101.64
109.26,99.96
109.46,101.64
109.57,104.09
110.36,102.54
110.82,102.0
109.49,103.91
109.86,104.76
110.3,105.24
109.66,103.16
109.27,102.66
109.04,104.24
108.43,104.5
108.41,103.67
107.36,102.86
107.6,103.55
107.68,104.78
107.86,106.4
108.1,106.4
107.04,105.75
106.75,106.02
107.19,104.26
106.95,104.92
106.1,106.23
106.36,107.36
106.86,110.51
107.15,109.71
107.1,108.37
106.75,110.48
106.84,109.94
105.76,109.4
105.49,110.7
105.26,109.6
104.73,109.78
104.28,108.6
104.61,108.44
104.82,109.21
103.97,108.74
103.65,108.3
103.02,110.66
103.61,112.5
103.04,111.72
102.94,109.76
103.63,109.48
103.95,107.68
103.53,106.97
103.49,108.94
102.87,103.94
102.13,101.43
102.36,102.69
103.02,103.87
102.0,101.1
101.57,99.9
102.07,95.5
102.38,93.76
102.76,93.56
102.95,94.29
102.51,96.78
102.74,96.17
102.18,97.48
102.59,94.65
102.85,94.23
103.16,94.83
102.82,95.93
103.61,96.74
104.04,97.56
103.96,97.68
104.13,100.3
103.47,99.07
102.86,98.25
102.99,99.6
102.82,98.27
102.19,97.96
102.58,99.31
102.16,97.02
102.05,94.72
101.26,92.62
99.6,87.99
99.01,87.32
100.11,89.39
100.35,87.04
100.34,87.7
99.94,88.92
100.79,90.05
101.21,91.18
101.05,93.12
100.6,92.98
100.64,91.85
101.22,91.28
101.68,91.11
102.34,92.75
102.53,92.49
101.84,92.32
101.61,92.57
101.23,92.08
101.7,91.88
101.84,91.52
102.21,91.08
101.85,90.26
102.25,91.79
101.92,91.14
101.78,93.5
101.71,93.28
102.56,94.02
103.36,94.51
102.98,94.67
102.96,94.77
103.32,95.34
104.06,98.43
104.07,98.96
104.23,98.16
103.16,96.9
103.62,97.21
103.87,97.06
102.71,97.33
103.18,98.2
102.95,98.74
103.21,100.24
102.66,100.0
103.12,101.72
103.25,102.13
103.1,101.86
102.49,101.25
102.71,100.58
101.99,99.52
101.55,97.35
101.51,96.1
101.24,96.65
101.8,98.09
101.61,95.62
101.12,94.76
101.25,93.45
100.71,93.01
100.07,93.18
100.36,91.88
99.42,92.71
100.11,94.52
99.79,94.78
99.78,95.81
99.63,96.74
99.07,93.04
99.2,91.98
98.9,90.28
98.83,90.29
98.68,90.16
98.24,87.97
98.55,86.58
97.5,85.48
97.2,83.44
95.95,81.1
95.54,80.02
97.08,81.68
96.57,79.28
96.34,80.17
96.91,81.6
97.17,83.25
96.66,81.62
96.28,79.35
95.77,77.44
95.34,76.71
95.4,77.49
95.48,76.68
95.18,78.08
94.66,76.14
94.86,79.01
95.02,79.87
94.2,77.88
93.63,77.54
93.77,78.15
93.64,78.14
94.56,81.21
