Date,Close
2012-10-31,64.38
2012-11-01,64.69
2012-11-02,65.12
2012-11-05,64.69
2012-11-06,64.97
2012-11-07,64.68
2012-11-08,63.91
2012-11-09,63.74
2012-11-12,63.59
2012-11-13,63.54
2012-11-14,62.35
2012-11-15,62.06
2012-11-16,62.44
2012-11-19,63.21
2012-11-20,63.68
2012-11-21,63.57
2012-11-23,64.04
2012-11-26,64.17
2012-11-27,63.81
2012-11-28,63.73
2012-11-29,64.08
2012-11-30,64.21
2012-12-03,64.47
2012-12-04,64.57
2012-12-05,64.37
2012-12-06,64.97
2012-12-07,65.21
2012-12-10,65.18
2012-12-11,65.34
2012-12-12,65.16
2012-12-13,64.66
2012-12-14,64.65
2012-12-17,64.99
2012-12-18,65.66
2012-12-19,65.57
2012-12-20,66.43
2012-12-21,66.32
2012-12-24,65.61
2012-12-26,65.3
2012-12-27,65.54
2012-12-28,65.11
2012-12-31,65.8
2013-01-02,66.62
2013-01-03,66.61
2013-01-04,66.92
2013-01-07,67.07
2013-01-08,66.94
2013-01-09,67.13
2013-01-10,67.2
2013-01-11,67.16
2013-01-14,67.35
2013-01-15,67.67
2013-01-16,67.59
2013-01-17,67.8
2013-01-18,68.09
2013-01-22,68.44
2013-01-23,68.42
2013-01-24,68.56
2013-01-25,68.95
2013-01-28,69.13
2013-01-29,69.33
2013-01-30,68.67
2013-01-31,68.26
2013-02-01,68.66
2013-02-04,68.5
2013-02-05,68.34
2013-02-06,68.58
2013-02-07,68.29
2013-02-08,68.92
2013-02-11,69.02
2013-02-12,69.54
2013-02-13,69.5
2013-02-14,69.21
2013-02-15,69.24
2013-02-19,69.79
2013-02-20,69.34
2013-02-21,68.82
2013-02-22,69.51
2013-02-25,68.19
2013-02-26,68.66
2013-02-27,69.16
2013-02-28,69.09
2013-03-01,69.32
2013-03-04,69.84
2013-03-05,70.39
2013-03-06,70.18
2013-03-07,69.85
2013-03-08,69.97
2013-03-11,70.03
2013-03-12,69.77
2013-03-13,69.84
2013-03-14,70.28
2013-03-15,70.44
2013-03-18,70.05
2013-03-19,69.71
2013-03-20,69.93
2013-03-21,69.72
2013-03-22,69.55
2013-03-25,69.56
2013-03-26,70.16
2013-03-27,70.29
2013-03-28,70.53
2013-04-01,70.74
2013-04-02,70.96
2013-04-03,70.71
2013-04-04,71.86
2013-04-05,72.25
2013-04-08,72.83
2013-04-09,72.84
2013-04-10,73.29
2013-04-11,73.72
2013-04-12,73.9
2013-04-15,72.37
2013-04-16,73.57
2013-04-17,72.79
2013-04-18,72.68
2013-04-19,73.8
2013-04-22,73.7
2013-04-23,74.11
2013-04-24,74.27
2013-04-25,74.02
2013-04-26,73.78
2013-04-29,74.41
2013-04-30,75.28
2013-05-01,74.68
2013-05-02,75.17
2013-05-03,75.47
2013-05-06,75.86
2013-05-07,76.28
2013-05-08,76.32
2013-05-09,75.82
2013-05-10,76.1
2013-05-13,76.46
2013-05-14,76.74
2013-05-15,77.5
2013-05-16,77.1
2013-05-17,77.53
2013-05-20,77.71
2013-05-21,78.15
2013-05-22,76.25
2013-05-23,74.82
2013-05-24,74.63
2013-05-28,73.99
2013-05-29,72.42
2013-05-30,71.74
2013-05-31,70.78
2013-06-03,71.18
2013-06-04,70.19
2013-06-05,69.61
2013-06-06,70.73
2013-06-07,70.74
2013-06-10,70.13
2013-06-11,69.09
2013-06-12,68.15
2013-06-13,69.92
2013-06-14,70.18
2013-06-17,70.38
2013-06-18,70.74
2013-06-19,68.57
2013-06-20,65.72
2013-06-21,66.61
2013-06-24,65.68
2013-06-25,66.78
2013-06-26,67.79
2013-06-27,69.15
2013-06-28,68.72
2013-07-01,68.57
2013-07-02,69.62
2013-07-03,69.16
2013-07-05,68.83
2013-07-08,68.9
2013-07-09,69.88
2013-07-10,69.91
2013-07-11,71.6
2013-07-12,71.16
2013-07-15,71.46
2013-07-16,71.51
2013-07-17,71.77
2013-07-18,72.38
2013-07-19,72.33
2013-07-22,72.55
2013-07-23,72.47
2013-07-24,71.06
2013-07-25,71.17
2013-07-26,71.23
2013-07-29,70.7
2013-07-30,70.49
2013-07-31,69.34
2013-08-01,69.07
2013-08-02,68.73
2013-08-05,68.68
2013-08-06,68.44
2013-08-07,68.26
2013-08-08,68.29
2013-08-09,68.89
2013-08-12,68.4
2013-08-13,67.46
2013-08-14,67.2
2013-08-15,65.97
2013-08-16,64.35
2013-08-19,63.5
2013-08-20,64.94
2013-08-21,64.79
2013-08-22,65.18
2013-08-23,65.86
2013-08-26,65.67
2013-08-27,65.35
2013-08-28,64.95
2013-08-29,65.05
2013-08-30,64.5
2013-09-03,63.94
2013-09-04,64.49
2013-09-05,63.81
2013-09-06,64.8
2013-09-09,66.15
2013-09-10,66.1
2013-09-11,66.63
2013-09-12,66.2
2013-09-13,66.39
2013-09-16,67.05
2013-09-17,67.01
2013-09-18,69.28
2013-09-19,69.22
2013-09-20,68.09
2013-09-23,67.01
2013-09-24,66.5
2013-09-25,66.72
2013-09-26,67.13
2013-09-27,66.85
2013-09-30,66.14
2013-10-01,67.1
2013-10-02,67.2
2013-10-03,66.03
2013-10-04,65.9
2013-10-07,66.2
2013-10-08,65.48
2013-10-09,65.49
2013-10-10,67.16
2013-10-11,67.83
2013-10-14,67.87
2013-10-15,67.62
2013-10-16,68.89
2013-10-17,69.93
2013-10-18,69.86
2013-10-21,69.44
2013-10-22,70.08
2013-10-23,70.21
2013-10-24,70.19
2013-10-25,71.05
2013-10-28,70.54
2013-10-29,70.13
2013-10-30,69.54
2013-10-31,69.13
2013-11-01,69.49
2013-11-04,69.62
2013-11-05,68.48
2013-11-06,68.38
2013-11-07,67.53
2013-11-08,66.62
2013-11-11,66.69
2013-11-12,66.39
2013-11-13,66.82
2013-11-14,67.29
2013-11-15,67.54
2013-11-18,67.12
2013-11-19,66.65
2013-11-20,65.84
2013-11-21,66.35
2013-11-22,66.09
2013-11-25,65.78
2013-11-26,65.55
2013-11-27,66.11
2013-11-29,65.5
2013-12-02,65.12
2013-12-03,64.99
2013-12-04,65.23
2013-12-05,65.46
2013-12-06,65.93
2013-12-09,66.25
2013-12-10,66.08
2013-12-11,64.56
2013-12-12,64.2
2013-12-13,64.36
2013-12-16,64.58
2013-12-17,64.88
2013-12-18,66.03
2013-12-19,65.12
2013-12-20,65.52
2013-12-23,65.65
2013-12-24,64.7
2013-12-26,64.75
