Date,Close
2012-10-31,112.19
2012-11-01,111.8
2012-11-02,111.87
2012-11-05,112.06
2012-11-06,111.74
2012-11-07,112.0
2012-11-08,112.14
2012-11-09,112.08
2012-11-12,112.05
2012-11-13,112.25
2012-11-14,112.28
2012-11-15,112.17
2012-11-16,112.21
2012-11-19,112.29
2012-11-20,112.08
2012-11-21,111.89
2012-11-23,111.96
2012-11-26,112.0
2012-11-27,112.15
2012-11-28,112.17
2012-11-29,112.31
2012-11-30,112.25
2012-12-03,111.6
2012-12-04,111.67
2012-12-05,111.77
2012-12-06,111.76
2012-12-07,111.66
2012-12-10,111.68
2012-12-11,111.64
2012-12-12,111.33
2012-12-13,111.15
2012-12-14,111.35
2012-12-17,111.08
2012-12-18,110.82
2012-12-19,111.01
2012-12-20,111.02
2012-12-21,111.12
2012-12-24,111.13
2012-12-26,111.05
2012-12-27,111.11
2012-12-28,111.28
2012-12-31,111.08
2013-01-02,110.95
2013-01-03,110.67
2013-01-04,110.79
2013-01-07,110.73
2013-01-08,110.83
2013-01-09,110.75
2013-01-10,110.74
2013-01-11,110.85
2013-01-14,110.95
2013-01-15,110.98
2013-01-16,111.04
2013-01-17,110.8
2013-01-18,110.93
2013-01-22,110.87
2013-01-23,110.99
2013-01-24,110.84
2013-01-25,110.57
2013-01-28,110.41
2013-01-29,110.34
2013-01-30,110.29
2013-01-31,110.39
2013-02-01,109.94
2013-02-04,110.25
2013-02-05,110.02
2013-02-06,110.21
2013-02-07,110.25
2013-02-08,110.28
2013-02-11,110.17
2013-02-12,110.15
2013-02-13,110.04
2013-02-14,110.24
2013-02-15,110.25
2013-02-19,110.12
2013-02-20,110.19
2013-02-21,110.25
2013-02-22,110.31
2013-02-25,110.73
2013-02-26,110.7
2013-02-27,110.73
2013-02-28,110.83
2013-03-01,110.66
2013-03-04,110.58
2013-03-05,110.49
2013-03-06,110.37
2013-03-07,110.14
2013-03-08,109.82
2013-03-11,109.88
2013-03-12,110.08
2013-03-13,109.99
2013-03-14,110.11
2013-03-15,110.21
2013-03-18,110.31
2013-03-19,110.47
2013-03-20,110.35
2013-03-21,110.37
2013-03-22,110.41
2013-03-25,110.37
2013-03-26,110.5
2013-03-27,110.73
2013-03-28,110.73
2013-04-01,110.57
2013-04-02,110.45
2013-04-03,110.57
2013-04-04,110.88
2013-04-05,111.2
2013-04-08,111.01
2013-04-09,111.05
2013-04-10,110.82
2013-04-11,110.84
2013-04-12,111.2
2013-04-15,111.25
2013-04-16,111.25
2013-04-17,111.25
2013-04-18,111.23
2013-04-19,111.24
2013-04-22,111.38
2013-04-23,111.33
2013-04-24,111.31
2013-04-25,111.26
2013-04-26,111.49
2013-04-29,111.56
2013-04-30,111.54
2013-05-01,111.39
2013-05-02,111.4
2013-05-03,110.99
2013-05-06,110.81
2013-05-07,110.75
2013-05-08,110.85
2013-05-09,110.7
2013-05-10,110.48
2013-05-13,110.38
2013-05-14,110.12
2013-05-15,110.28
2013-05-16,110.58
2013-05-17,110.31
2013-05-20,110.2
2013-05-21,110.29
2013-05-22,109.92
2013-05-23,109.88
2013-05-24,109.88
2013-05-28,109.2
2013-05-29,109.35
2013-05-30,109.32
2013-05-31,109.11
2013-06-03,108.97
2013-06-04,108.73
2013-06-05,108.67
2013-06-06,108.95
2013-06-07,108.61
2013-06-10,108.39
2013-06-11,108.4
2013-06-12,108.22
2013-06-13,108.75
2013-06-14,108.78
2013-06-17,108.7
2013-06-18,108.66
2013-06-19,107.93
2013-06-20,107.21
2013-06-21,106.61
2013-06-24,106.18
2013-06-25,106.3
2013-06-26,106.75
2013-06-27,107.2
2013-06-28,107.21
2013-07-01,107.16
2013-07-02,107.16
2013-07-03,107.01
2013-07-05,105.84
2013-07-08,106.39
2013-07-09,106.5
2013-07-10,106.22
2013-07-11,106.93
2013-07-12,106.81
2013-07-15,107.04
2013-07-16,107.21
2013-07-17,107.44
2013-07-18,107.24
2013-07-19,107.52
2013-07-22,107.66
2013-07-23,107.6
2013-07-24,107.25
2013-07-25,107.29
2013-07-26,107.26
2013-07-29,107.26
2013-07-30,107.22
2013-07-31,107.3
2013-08-01,106.49
2013-08-02,106.85
2013-08-05,106.9
2013-08-06,106.79
2013-08-07,106.93
2013-08-08,107.08
2013-08-09,107.15
2013-08-12,107.08
2013-08-13,106.65
2013-08-14,106.51
2013-08-15,106.13
2013-08-16,105.83
2013-08-19,105.5
2013-08-20,105.81
2013-08-21,105.42
2013-08-22,105.55
2013-08-23,105.9
2013-08-26,106.09
2013-08-27,106.37
2013-08-28,106.17
2013-08-29,106.38
2013-08-30,106.21
2013-09-03,105.75
2013-09-04,105.6
2013-09-05,104.89
2013-09-06,105.28
2013-09-09,105.49
2013-09-10,105.3
2013-09-11,105.66
2013-09-12,105.54
2013-09-13,105.69
2013-09-16,105.91
2013-09-17,106.01
2013-09-18,106.9
2013-09-19,106.77
2013-09-20,106.77
2013-09-23,106.85
2013-09-24,107.1
2013-09-25,107.25
2013-09-26,107.23
2013-09-27,107.29
2013-09-30,107.2
2013-10-01,106.93
2013-10-02,107.07
2013-10-03,107.15
2013-10-04,107.06
2013-10-07,107.04
2013-10-08,106.99
2013-10-09,106.91
2013-10-10,107.03
2013-10-11,107.07
2013-10-14,106.87
2013-10-15,106.82
2013-10-16,107.28
2013-10-17,107.58
2013-10-18,107.76
2013-10-21,107.66
2013-10-22,108.04
2013-10-23,108.01
2013-10-24,107.97
2013-10-25,108.01
2013-10-28,107.96
2013-10-29,108.09
2013-10-30,107.89
2013-10-31,107.9
2013-11-01,107.45
2013-11-04,107.56
2013-11-05,107.24
2013-11-06,107.41
2013-11-07,107.49
2013-11-08,106.82
2013-11-11,106.76
2013-11-12,106.72
2013-11-13,107.0
2013-11-14,107.33
2013-11-15,107.36
2013-11-18,107.57
2013-11-19,107.28
2013-11-20,106.98
2013-11-21,107.09
2013-11-22,107.24
2013-11-25,107.32
2013-11-26,107.35
2013-11-27,107.4
2013-11-29,107.44
2013-12-02,106.83
2013-12-03,106.96
2013-12-04,106.68
2013-12-05,106.45
2013-12-06,106.63
2013-12-09,106.76
2013-12-10,106.93
2013-12-11,106.76
2013-12-12,106.6
2013-12-13,106.65
2013-12-16,106.73
2013-12-17,106.91
2013-12-18,106.86
2013-12-19,106.68
2013-12-20,106.86
2013-12-23,106.81
2013-12-24,106.66
2013-12-26,106.39
2013-12-27,106.43
2013-12-30,106.53
2013-12-31,106.43
2014-01-02,106.5
2014-01-03,106.54
2014-01-06,106.68
2014-01-07,106.73
2014-01-08,106.41
2014-01-09,106.56
2014-01-10,107.1
2014-01-13,107.2
2014-01-14,107.04
2014-01-15,106.95
2014-01-16,107.2
2014-01-17,107.25
2014-01-21,107.3
2014-01-22,107.07
2014-01-23,107.35
2014-01-24,107.58
2014-01-27,107.35
2014-01-28,107.53
2014-01-29,107.85
2014-01-30,107.87
2014-01-31,108.07
2014-02-03,108.23
2014-02-04,107.97
2014-02-05,107.7
2014-02-06,107.65
2014-02-07,107.82
2014-02-10,107.93
2014-02-11,107.72
2014-02-12,107.54
2014-02-13,107.77
2014-02-14,107.77
2014-02-18,107.84
2014-02-19,107.76
2014-02-20,107.7
2014-02-21,107.8
2014-02-24,107.7
2014-02-25,107.99
2014-02-26,108.22
2014-02-27,108.33
2014-02-28,108.27
2014-03-03,108.35
2014-03-04,107.95
2014-03-05,108.01
2014-03-06,107.77
2014-03-07,107.47
2014-03-10,107.47
2014-03-11,107.46
2014-03-12,107.7
2014-03-13,107.98
2014-03-14,107.93
2014-03-17,107.87
2014-03-18,108.0
2014-03-19,107.52
2014-03-20,107.44
2014-03-21,107.59
2014-03-24,107.75
2014-03-25,107.64
2014-03-26,107.98
2014-03-27,108.06
2014-03-28,107.9
2014-03-31,107.91
2014-04-01,107.54
2014-04-02,107.36
2014-04-03,107.44
2014-04-04,107.78
2014-04-07,107.94
2014-04-08,108.07
2014-04-09,108.08
2014-04-10,108.33
2014-04-11,108.43
2014-04-14,108.47
2014-04-15,108.48
2014-04-16,108.54
2014-04-17,108.19
2014-04-21,108.18
2014-04-22,108.16
2014-04-23,108.27
2014-04-24,108.37
2014-04-25,108.39
2014-04-28,108.32
2014-04-29,108.37
2014-04-30,108.59
2014-05-01,108.55
2014-05-02,108.68
2014-05-05,108.64
2014-05-06,108.72
2014-05-07,108.72
2014-05-08,108.79
2014-05-09,108.69
2014-05-12,108.6
2014-05-13,108.78
2014-05-14,109.09
2014-05-15,109.32
2014-05-16,109.2
2014-05-19,109.16
2014-05-20,109.21
2014-05-21,109.17
2014-05-22,109.12
2014-05-23,109.23
2014-05-27,109.33
2014-05-28,109.63
2014-05-29,109.57
2014-05-30,109.67
2014-06-02,109.13
2014-06-03,108.84
2014-06-04,108.8
2014-06-05,108.94
2014-06-06,108.88
2014-06-09,108.78
2014-06-10,108.62
2014-06-11,108.7
2014-06-12,108.91
2014-06-13,108.88
2014-06-16,108.82
2014-06-17,108.62
2014-06-18,108.91
2014-06-19,108.75
2014-06-20,108.94
2014-06-23,108.84
2014-06-24,109.03
2014-06-25,109.18
2014-06-26,109.39
2014-06-27,109.39
2014-06-30,109.4
2014-07-01,109.07
2014-07-02,108.69
2014-07-03,108.62
2014-07-07,108.65
2014-07-08,108.87
2014-07-09,108.96
2014-07-10,109.01
2014-07-11,109.16
2014-07-14,109.07
2014-07-15,108.93
2014-07-16,109.02
2014-07-17,109.34
2014-07-18,109.22
2014-07-21,109.26
2014-07-22,109.44
2014-07-23,109.46
2014-07-24,109.12
2014-07-25,109.33
2014-07-28,109.35
2014-07-29,109.46
2014-07-30,109.07
2014-07-31,108.93
2014-08-01,109.14
2014-08-04,109.12
2014-08-05,109.12
2014-08-06,109.13
2014-08-07,109.34
2014-08-08,109.38
2014-08-11,109.39
2014-08-12,109.34
2014-08-13,109.56
2014-08-14,109.62
2014-08-15,109.89
2014-08-18,109.66
2014-08-19,109.51
2014-08-20,109.39
2014-08-21,109.58
2014-08-22,109.56
2014-08-25,109.65
2014-08-26,109.66
2014-08-27,109.8
2014-08-28,110.02
2014-08-29,109.98
2014-09-02,109.45
2014-09-03,109.57
2014-09-04,109.43
2014-09-05,109.37
2014-09-08,109.26
2014-09-09,109.11
2014-09-10,108.96
2014-09-11,108.85
2014-09-12,108.63
2014-09-15,108.61
2014-09-16,108.61
2014-09-17,108.49
2014-09-18,108.5
2014-09-19,108.68
2014-09-22,108.83
2014-09-23,108.93
2014-09-24,108.86
2014-09-25,109.07
2014-09-26,109.06
2014-09-29,109.18
2014-09-30,109.11
2014-10-01,109.53
2014-10-02,109.35
2014-10-03,109.3
2014-10-06,109.4
2014-10-07,109.82
2014-10-08,110.13
2014-10-09,109.91
2014-10-10,109.99
2014-10-13,110.31
2014-10-14,110.56
2014-10-15,110.76
2014-10-16,110.67
2014-10-17,110.52
2014-10-20,110.65
2014-10-21,110.55
2014-10-22,110.49
2014-10-23,110.23
2014-10-24,110.27
2014-10-27,110.31
2014-10-28,110.14
2014-10-29,109.9
2014-10-30,110.08
2014-10-31,110.08
2014-11-03,109.68
2014-11-04,109.69
2014-11-05,109.73
2014-11-06,109.54
2014-11-07,109.91
2014-11-10,109.65
2014-11-11,109.7
2014-11-12,109.71
2014-11-13,109.76
2014-11-14,109.86
2014-11-17,109.73
2014-11-18,109.83
2014-11-19,109.57
2014-11-20,109.77
2014-11-21,109.9
2014-11-24,109.94
2014-11-25,110.18
2014-11-26,110.27
2014-11-28,110.61
2014-12-01,110.08
2014-12-02,109.86
2014-12-03,109.76
2014-12-04,110.09
2014-12-05,109.62
2014-12-08,109.89
2014-12-09,110.06
2014-12-10,110.25
2014-12-11,110.21
2014-12-12,110.56
2014-12-15,110.26
2014-12-16,110.53
2014-12-17,110.39
2014-12-18,110.1
2014-12-19,110.28
2014-12-22,110.45
2014-12-23,109.94
2014-12-24,109.69
2014-12-26,109.74
2014-12-29,109.97
2014-12-30,110.09
2014-12-31,110.12
2015-01-02,110.43
2015-01-05,110.67
2015-01-06,110.95
2015-01-07,110.93
2015-01-08,110.76
2015-01-09,111.03
2015-01-12,111.12
2015-01-13,111.15
2015-01-14,111.42
2015-01-15,111.93
2015-01-16,111.5
2015-01-20,111.69
2015-01-21,111.49
2015-01-22,111.43
2015-01-23,111.71
2015-01-26,111.66
2015-01-27,111.6
2015-01-28,112.07
2015-01-29,111.98
2015-01-30,112.38
2015-02-02,112.2
2015-02-03,111.77
2015-02-04,111.94
2015-02-05,111.71
2015-02-06,111.06
2015-02-09,111.04
2015-02-10,110.92
2015-02-11,110.87
2015-02-12,110.89
2015-02-13,110.76
2015-02-17,110.31
2015-02-18,110.62
2015-02-19,110.53
2015-02-20,110.55
2015-02-23,110.75
2015-02-24,111.24
2015-02-25,111.32
2015-02-26,110.92
2015-02-27,111.2
2015-03-02,110.45
2015-03-03,110.31
2015-03-04,110.37
2015-03-05,110.42
2015-03-06,109.7
2015-03-09,109.98
2015-03-10,110.24
2015-03-11,110.46
2015-03-12,110.55
2015-03-13,110.34
2015-03-16,110.58
2015-03-17,110.56
2015-03-18,111.37
2015-03-19,110.98
2015-03-20,111.32
2015-03-23,111.34
2015-03-24,111.64
2015-03-25,111.43
2015-03-26,111.03
2015-03-27,111.19
2015-03-30,111.24
